id	myErr	umfErr	ratio	myElaps	umfElaps	ratio	mynnz	umfnnz	ratio	myflop	umfflop	ratio
2656	1.4249e-10	1.83208e-15	77774.7	0.490306	0.019608	25.0054	59860	43844	1.3653	529246	329697	1.60525	Pass
1547	2.33693e-10	1.20683e-13	1936.42	1.34885	0.023861	56.5296	277822	70187	3.95831	3.19396e+07	1.61994e+06	19.7165	Pass
2679	3.61117e-07	6.30824e-15	5.72453e+07	4.18428	0.047354	88.3617	474021	132844	3.56825	6.52888e+07	4.08724e+06	15.9738	Pass
1542	1.40561e-10	2.41838e-14	5812.18	3.17444	0.014745	215.289	558493	42607	13.108	1.11936e+08	421918	265.302	Pass
1546	7.36276e-10	8.53409e-14	8627.47	2.19858	0.025151	87.4153	449065	65849	6.81962	7.90045e+07	1.29632e+06	60.945	Pass
871	1.28431e-11	3.01805e-13	42.5542	1.12615	0.088644	12.7042	247706	356380	0.695061	9.5418e+06	1.20249e+07	0.793502	Pass
2667	4.65677e-10	6.82207e-14	6826.04	5.99171	0.025624	233.832	1.40886e+06	173126	8.1378	8.74022e+08	7.66502e+06	114.027	Pass
1540	3.56063e-10	1.33739e-13	2662.38	2.7738	0.023274	119.18	675514	72643	9.29909	2.2754e+08	2.14168e+06	106.243	Pass
2724	3.8147e-06	2.96687e-14	1.28576e+08	16.8345	0.069748	241.362	3.05545e+06	148025	20.6415	2.75277e+09	5.96686e+06	461.343	Pass
2817	9.789e-12	9.52794e-14	102.74	0.923845	0.013194	70.0201	193791	75395	2.57034	1.58755e+07	2.85314e+06	5.56424	Pass
434	4.73438e-11	2.44206e-13	193.868	1.35278	0.02258	59.9104	300073	146857	2.0433	3.36182e+07	7.66385e+06	4.38659	Pass
1187	4.8761e-13	3.50414e-16	1391.52	1.4456	0.033359	43.3347	271844	156311	1.73912	1.73986e+07	6.55143e+06	2.65569	Pass
384	8.65274e-11	2.51522e-14	3440.15	1.03011	0.02046	50.3475	164819	70202	2.34778	1.2642e+07	2.59915e+06	4.86391	Pass
468	1.80719e-13	2.60209e-18	69451.5	2.91167	0.005472	532.103	289755	33200	8.72756	778711	17823	43.6914	Pass
157	8.38695e-12	3.48966e-14	240.337	0.553938	0.020952	26.4384	91635	61101	1.49973	1.64196e+06	608387	2.69888	Pass
